district,division,climate_zone,year,month,rainfall_mm,river_level_m,soil_saturation_percent,drainage_quality,district_flood_prone,flood_occurred
Mullaitivu,Mullaitivu-DS4,Dry,2017,8,63.4,1.64,37.3,Moderate,0,0
Kandy,Kandy-DS6,Wet,2016,8,462.7,3.51,68.4,Good,1,0
Kalutara,Kalutara-DS5,Wet,2021,12,310.0,3.63,51.2,Moderate,1,0
Puttalam,Puttalam-DS5,Dry,2020,10,172.3,2.08,18.2,Moderate,0,0
Kegalle,Kegalle-DS6,Wet,2021,3,360.0,3.54,51.7,Poor,1,1
Hambantota,Hambantota-DS2,Dry,2015,5,75.2,2.08,35.3,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS5,Dry,2021,12,106.2,1.91,31.8,Moderate,0,0
Colombo,Colombo-DS3,Wet,2021,7,601.2,4.22,77.4,Poor,1,1
Kalutara,Kalutara-DS5,Wet,2021,8,273.1,3.15,54.8,Poor,1,0
Mannar,Mannar-DS2,Dry,2008,6,61.1,2.03,21.5,Good,0,0
Trincomalee,Trincomalee-DS6,Dry,2024,5,52.8,2.71,37.6,Poor,1,0
Jaffna,Jaffna-DS3,Dry,2010,6,83.0,2.06,47.2,Moderate,0,0
Matara,Matara-DS2,Wet,2019,12,262.7,3.23,51.4,Poor,1,1
Hambantota,Hambantota-DS2,Dry,2025,12,286.4,2.62,52.4,Good,0,0
Hambantota,Hambantota-DS2,Dry,2021,2,211.2,2.16,42.7,Moderate,0,0
Ampara,Ampara-DS3,Dry,2024,6,135.2,1.95,42.8,Moderate,0,0
Trincomalee,Trincomalee-DS5,Dry,2009,4,81.4,2.72,41.4,Moderate,1,0
Mullaitivu,Mullaitivu-DS1,Dry,2019,4,93.3,1.58,33.7,Moderate,0,0
Matara,Matara-DS6,Wet,2010,6,356.3,3.33,61.0,Poor,1,1
Kandy,Kandy-DS2,Wet,2013,7,194.6,2.5,47.8,Moderate,1,1
Trincomalee,Trincomalee-DS5,Dry,2023,9,54.8,2.38,36.4,Moderate,1,0
Matara,Matara-DS5,Wet,2021,12,285.6,3.24,52.6,Good,1,0
Jaffna,Jaffna-DS1,Dry,2015,9,46.5,1.6,21.1,Moderate,0,0
Vavuniya,Vavuniya-DS5,Dry,2017,8,85.3,1.91,37.4,Poor,0,0
Ratnapura,Ratnapura-DS5,Wet,2013,3,487.2,3.72,66.8,Poor,1,1
Kalutara,Kalutara-DS6,Wet,2025,6,205.5,3.19,50.1,Moderate,1,1
Trincomalee,Trincomalee-DS2,Dry,2024,10,90.7,2.65,37.9,Good,1,0
Vavuniya,Vavuniya-DS4,Dry,2009,10,157.2,2.21,40.0,Good,0,0
Puttalam,Puttalam-DS2,Dry,2009,9,65.8,1.92,12.5,Good,0,0
Kandy,Kandy-DS5,Wet,2010,3,460.8,3.84,69.1,Moderate,1,1
Vavuniya,Vavuniya-DS2,Dry,2014,4,83.7,2.0,38.2,Good,0,0
Trincomalee,Trincomalee-DS4,Dry,2025,11,99.7,2.68,38.0,Poor,1,0
Puttalam,Puttalam-DS3,Dry,2021,12,180.3,2.16,35.4,Moderate,0,0
Galle,Galle-DS1,Wet,2019,11,314.9,3.45,65.2,Good,1,1
Anuradhapura,Anuradhapura-DS4,Dry,2015,7,58.9,1.7,32.0,Poor,0,0
Vavuniya,Vavuniya-DS5,Dry,2017,2,78.2,1.88,22.7,Poor,0,0
Matara,Matara-DS2,Wet,2021,8,534.0,4.0,71.9,Moderate,1,1
Anuradhapura,Anuradhapura-DS4,Dry,2020,12,105.3,1.97,37.9,Moderate,0,1
Matara,Matara-DS1,Wet,2020,11,706.1,4.6,81.3,Poor,1,1
Mullaitivu,Mullaitivu-DS2,Dry,2010,3,97.9,2.14,33.5,Moderate,0,0
Moneragala,Moneragala-DS6,Dry,2010,6,64.4,1.91,35.3,Moderate,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2009,5,126.9,2.22,50.4,Moderate,1,0
Kandy,Kandy-DS4,Wet,2010,12,175.6,3.09,41.9,Good,1,0
Gampaha,Gampaha-DS4,Wet,2023,5,189.8,3.14,55.7,Moderate,1,1
Matara,Matara-DS5,Wet,2020,4,169.6,3.2,35.4,Good,1,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2019,2,99.3,2.0,34.9,Poor,0,0
Mannar,Mannar-DS4,Dry,2024,5,148.7,1.69,40.4,Moderate,0,0
Kurunegala,Kurunegala-DS3,Intermediate,2023,10,138.5,2.75,49.1,Poor,1,0
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2015,12,320.0,2.84,53.7,Moderate,0,0
Jaffna,Jaffna-DS5,Dry,2017,11,178.8,1.88,39.5,Good,0,0
Mannar,Mannar-DS5,Dry,2014,2,83.3,1.87,38.6,Poor,0,0
Hambantota,Hambantota-DS2,Dry,2025,9,43.3,1.71,39.6,Moderate,0,0
Matara,Matara-DS4,Wet,2022,10,182.8,2.75,44.5,Poor,1,0
Kegalle,Kegalle-DS2,Wet,2023,9,198.2,2.92,50.8,Poor,1,0
Kalutara,Kalutara-DS4,Wet,2019,8,248.6,3.17,55.1,Moderate,1,0
Kalutara,Kalutara-DS6,Wet,2012,12,118.5,2.89,42.7,Moderate,1,0
Colombo,Colombo-DS3,Wet,2012,1,241.1,2.88,63.1,Poor,1,1
Badulla,Badulla-DS5,Intermediate,2016,11,237.3,2.27,49.4,Moderate,0,0
Kurunegala,Kurunegala-DS1,Intermediate,2008,3,143.2,2.75,38.3,Poor,1,0
Vavuniya,Vavuniya-DS3,Dry,2025,6,78.3,2.32,37.6,Poor,0,0
Gampaha,Gampaha-DS1,Wet,2013,1,306.7,3.16,61.4,Moderate,1,0
Moneragala,Moneragala-DS1,Dry,2009,5,117.2,2.05,34.0,Poor,0,0
Kurunegala,Kurunegala-DS5,Intermediate,2018,12,173.3,3.03,48.5,Poor,1,0
Kegalle,Kegalle-DS5,Wet,2018,5,361.8,3.52,49.4,Moderate,1,0
Hambantota,Hambantota-DS4,Dry,2010,7,155.8,2.88,32.9,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS6,Wet,2013,2,122.1,2.31,50.2,Moderate,0,0
Batticaloa,Batticaloa-DS5,Dry,2008,4,77.6,2.45,37.6,Moderate,1,0
Polonnaruwa,Polonnaruwa-DS5,Dry,2010,7,83.2,1.51,34.4,Good,0,0
Kurunegala,Kurunegala-DS5,Intermediate,2018,6,287.2,2.91,47.0,Moderate,1,1
Kegalle,Kegalle-DS1,Wet,2015,8,171.3,2.83,56.7,Moderate,1,0
Jaffna,Jaffna-DS5,Dry,2015,7,47.4,1.65,34.6,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2025,12,272.7,2.95,51.5,Poor,0,0
Moneragala,Moneragala-DS1,Dry,2019,7,79.4,1.72,35.7,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS5,Dry,2012,3,99.2,1.86,30.9,Moderate,0,0
Jaffna,Jaffna-DS5,Dry,2008,1,139.6,2.14,47.5,Moderate,0,0
Puttalam,Puttalam-DS4,Dry,2013,6,80.5,2.02,36.7,Moderate,0,0
Kurunegala,Kurunegala-DS1,Intermediate,2015,2,218.9,3.15,28.8,Good,1,0
Vavuniya,Vavuniya-DS1,Dry,2020,5,89.0,1.92,31.6,Good,0,0
Gampaha,Gampaha-DS1,Wet,2025,11,193.6,2.92,45.6,Moderate,1,1
Ampara,Ampara-DS3,Dry,2013,2,94.2,1.92,33.3,Good,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2016,9,93.4,1.84,33.1,Poor,0,0
Colombo,Colombo-DS4,Wet,2020,1,247.9,3.31,56.6,Moderate,1,0
Matara,Matara-DS3,Wet,2016,12,140.1,2.76,45.8,Moderate,1,0
Kandy,Kandy-DS3,Wet,2012,10,138.8,2.78,36.1,Good,1,0
Mannar,Mannar-DS6,Dry,2024,7,83.3,2.04,37.5,Poor,0,0
Matale,Matale-DS4,Intermediate,2021,6,134.6,2.11,34.2,Poor,0,0
Ratnapura,Ratnapura-DS2,Wet,2018,12,241.3,3.39,51.7,Moderate,1,0
Anuradhapura,Anuradhapura-DS2,Dry,2025,6,65.0,1.81,32.4,Moderate,0,0
Puttalam,Puttalam-DS2,Dry,2019,4,100.0,1.72,39.1,Good,0,1
Mullaitivu,Mullaitivu-DS5,Dry,2022,5,100.7,1.63,34.2,Moderate,0,0
Kalutara,Kalutara-DS1,Wet,2017,5,254.8,2.98,51.7,Poor,1,0
Mannar,Mannar-DS6,Dry,2021,12,286.4,2.7,35.7,Good,0,0
Kalutara,Kalutara-DS4,Wet,2023,10,317.4,3.39,63.1,Moderate,1,1
Trincomalee,Trincomalee-DS2,Dry,2018,7,61.3,2.4,34.7,Moderate,1,0
Batticaloa,Batticaloa-DS6,Dry,2017,2,79.2,2.21,39.0,Poor,1,0
Kalutara,Kalutara-DS2,Wet,2024,4,147.5,2.99,45.5,Good,1,0
Anuradhapura,Anuradhapura-DS6,Dry,2014,3,89.8,1.98,38.2,Moderate,0,0
Anuradhapura,Anuradhapura-DS2,Dry,2014,10,152.0,2.7,37.3,Good,0,0
Badulla,Badulla-DS3,Intermediate,2011,4,168.0,2.09,36.4,Moderate,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2024,9,48.1,1.72,28.7,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2022,8,214.2,2.62,53.9,Good,0,1
Matara,Matara-DS3,Wet,2008,2,215.4,2.89,51.3,Moderate,1,0
Kandy,Kandy-DS5,Wet,2009,9,242.4,3.25,52.7,Moderate,1,0
Kilinochchi,Kilinochchi-DS3,Dry,2011,11,146.2,1.98,35.6,Moderate,0,1
Vavuniya,Vavuniya-DS4,Dry,2018,5,110.2,1.79,46.5,Moderate,0,0
Puttalam,Puttalam-DS6,Dry,2025,12,172.7,2.64,29.3,Moderate,0,0
Ratnapura,Ratnapura-DS4,Wet,2025,10,160.5,3.05,52.1,Moderate,1,0
Kegalle,Kegalle-DS1,Wet,2024,7,336.1,2.98,51.0,Moderate,1,0
Mullaitivu,Mullaitivu-DS3,Dry,2018,11,120.0,1.84,42.6,Good,0,0
Trincomalee,Trincomalee-DS3,Dry,2020,7,82.7,2.49,41.6,Moderate,1,1
Hambantota,Hambantota-DS6,Dry,2014,2,192.6,2.08,45.8,Moderate,0,0
Matara,Matara-DS3,Wet,2023,9,326.6,3.5,80.2,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2021,8,390.8,3.14,55.8,Poor,0,1
Polonnaruwa,Polonnaruwa-DS5,Dry,2016,5,72.7,1.97,35.7,Good,0,0
Kalutara,Kalutara-DS1,Wet,2009,2,177.8,3.19,38.5,Good,1,0
Mannar,Mannar-DS2,Dry,2017,1,205.3,2.32,45.1,Good,0,0
Badulla,Badulla-DS3,Intermediate,2023,4,231.5,2.46,38.9,Moderate,0,1
Gampaha,Gampaha-DS2,Wet,2021,7,448.5,3.71,74.0,Moderate,1,1
Ratnapura,Ratnapura-DS4,Wet,2009,10,418.5,3.63,70.5,Moderate,1,1
Hambantota,Hambantota-DS4,Dry,2013,2,112.6,2.29,24.4,Poor,0,0
Kurunegala,Kurunegala-DS2,Intermediate,2012,4,260.6,3.19,46.8,Moderate,1,1
Matara,Matara-DS2,Wet,2017,11,256.4,3.14,61.5,Moderate,1,0
Mullaitivu,Mullaitivu-DS2,Dry,2016,10,427.3,2.84,62.7,Good,0,1
Kegalle,Kegalle-DS1,Wet,2018,3,124.1,2.46,51.8,Poor,1,1
Polonnaruwa,Polonnaruwa-DS5,Dry,2012,10,194.7,2.35,36.7,Poor,0,0
Ratnapura,Ratnapura-DS3,Wet,2018,4,151.7,2.77,46.1,Moderate,1,0
Ampara,Ampara-DS1,Dry,2011,6,92.9,2.31,27.8,Moderate,0,0
Moneragala,Moneragala-DS4,Dry,2009,11,215.3,1.98,49.3,Moderate,0,0
Jaffna,Jaffna-DS6,Dry,2010,12,242.1,2.11,44.7,Moderate,0,0
Batticaloa,Batticaloa-DS2,Dry,2010,3,68.8,2.0,37.6,Moderate,1,0
Matale,Matale-DS2,Intermediate,2019,2,111.4,1.74,37.0,Poor,0,0
Kalutara,Kalutara-DS3,Wet,2011,10,458.3,4.05,78.6,Poor,1,1
Ratnapura,Ratnapura-DS5,Wet,2017,6,178.1,3.02,59.4,Poor,1,0
Ampara,Ampara-DS5,Dry,2010,6,197.2,2.35,39.3,Moderate,0,0
Jaffna,Jaffna-DS1,Dry,2015,6,43.7,1.58,30.7,Moderate,0,0
Kegalle,Kegalle-DS1,Wet,2016,6,148.7,2.82,53.2,Good,1,1
Anuradhapura,Anuradhapura-DS6,Dry,2016,10,156.0,2.23,46.8,Moderate,0,1
Kandy,Kandy-DS1,Wet,2025,3,247.4,2.97,54.1,Moderate,1,1
Kurunegala,Kurunegala-DS1,Intermediate,2011,2,141.0,2.82,41.8,Moderate,1,1
Badulla,Badulla-DS1,Intermediate,2022,2,81.2,1.53,37.7,Moderate,0,0
Matale,Matale-DS3,Intermediate,2016,9,151.2,1.78,35.0,Good,0,0
Puttalam,Puttalam-DS2,Dry,2008,2,73.3,1.68,41.4,Moderate,0,0
Kandy,Kandy-DS3,Wet,2017,7,372.8,3.55,59.6,Moderate,1,0
Matale,Matale-DS5,Intermediate,2023,10,223.7,2.39,45.2,Good,0,0
Matara,Matara-DS1,Wet,2015,3,193.0,3.08,50.4,Moderate,1,1
Jaffna,Jaffna-DS4,Dry,2021,7,79.3,1.68,36.6,Moderate,0,0
Puttalam,Puttalam-DS6,Dry,2014,4,96.1,2.02,26.8,Moderate,0,0
Badulla,Badulla-DS5,Intermediate,2025,10,149.9,2.09,33.2,Moderate,0,0
Kandy,Kandy-DS2,Wet,2015,9,261.4,2.88,40.6,Good,1,0
Hambantota,Hambantota-DS3,Dry,2009,5,86.2,2.11,33.3,Moderate,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2011,8,118.2,1.94,38.8,Poor,0,0
Matara,Matara-DS6,Wet,2025,8,115.4,2.45,36.4,Moderate,1,0
Moneragala,Moneragala-DS5,Dry,2025,6,59.1,2.14,29.7,Poor,0,0
Vavuniya,Vavuniya-DS6,Dry,2025,2,74.5,1.63,32.2,Good,0,0
Jaffna,Jaffna-DS5,Dry,2017,2,95.3,1.72,37.6,Good,0,0
Moneragala,Moneragala-DS1,Dry,2025,1,98.0,2.04,23.7,Good,0,0
Kilinochchi,Kilinochchi-DS2,Dry,2023,6,44.8,1.64,28.8,Poor,0,0
Kegalle,Kegalle-DS6,Wet,2014,11,138.6,2.85,44.3,Moderate,1,0
Trincomalee,Trincomalee-DS4,Dry,2024,11,54.7,2.41,38.9,Moderate,1,0
Ampara,Ampara-DS5,Dry,2010,9,54.5,1.43,43.5,Moderate,0,0
Trincomalee,Trincomalee-DS6,Dry,2018,8,77.6,2.38,45.7,Moderate,1,0
Badulla,Badulla-DS5,Intermediate,2014,5,110.4,2.04,40.8,Moderate,0,0
Trincomalee,Trincomalee-DS5,Dry,2010,6,56.4,2.47,39.0,Good,1,0
Kandy,Kandy-DS5,Wet,2009,2,199.4,2.93,48.0,Moderate,1,0
Jaffna,Jaffna-DS2,Dry,2009,9,66.1,1.81,38.3,Moderate,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2019,10,82.8,1.73,27.0,Moderate,0,0
Ratnapura,Ratnapura-DS6,Wet,2021,1,365.6,3.87,61.5,Poor,1,1
Colombo,Colombo-DS6,Wet,2024,10,331.3,3.37,52.2,Poor,1,1
Jaffna,Jaffna-DS6,Dry,2023,8,76.6,1.35,32.5,Poor,0,0
Matara,Matara-DS1,Wet,2013,3,361.6,3.47,61.6,Moderate,1,1
Mullaitivu,Mullaitivu-DS1,Dry,2019,10,223.7,1.77,40.6,Poor,0,1
Matara,Matara-DS6,Wet,2016,7,389.3,3.41,68.3,Moderate,1,1
Polonnaruwa,Polonnaruwa-DS1,Dry,2008,10,128.1,1.61,44.9,Good,0,0
Anuradhapura,Anuradhapura-DS1,Dry,2020,7,62.8,2.02,27.6,Good,0,0
Kandy,Kandy-DS6,Wet,2017,2,275.9,2.99,54.7,Moderate,1,0
Anuradhapura,Anuradhapura-DS5,Dry,2008,1,118.7,2.25,28.9,Good,0,0
Jaffna,Jaffna-DS6,Dry,2016,12,90.8,1.83,32.6,Poor,0,0
Ratnapura,Ratnapura-DS4,Wet,2014,4,286.0,3.27,54.8,Moderate,1,0
Anuradhapura,Anuradhapura-DS6,Dry,2018,2,104.6,2.15,39.2,Moderate,0,0
Anuradhapura,Anuradhapura-DS4,Dry,2015,12,154.1,1.8,20.5,Good,0,0
Batticaloa,Batticaloa-DS5,Dry,2018,3,99.3,2.23,32.5,Good,1,0
Kurunegala,Kurunegala-DS6,Intermediate,2014,2,118.8,2.39,30.1,Good,1,0
Matara,Matara-DS4,Wet,2015,1,194.8,3.04,47.7,Poor,1,1
Galle,Galle-DS1,Wet,2024,6,175.2,3.0,45.6,Good,1,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2016,11,225.9,2.5,43.4,Good,0,0
Ratnapura,Ratnapura-DS4,Wet,2013,6,268.3,3.21,56.4,Poor,1,1
Polonnaruwa,Polonnaruwa-DS3,Dry,2015,3,62.1,1.72,33.8,Good,0,0
Mullaitivu,Mullaitivu-DS3,Dry,2010,4,128.5,1.78,41.9,Moderate,0,0
Galle,Galle-DS4,Wet,2017,8,250.8,3.06,50.7,Moderate,1,1
Hambantota,Hambantota-DS1,Dry,2014,10,179.4,2.58,34.9,Good,0,0
Puttalam,Puttalam-DS3,Dry,2008,6,61.2,1.91,39.2,Moderate,0,0
Jaffna,Jaffna-DS3,Dry,2019,4,142.7,2.08,37.3,Good,0,0
Kalutara,Kalutara-DS6,Wet,2023,8,371.5,3.51,61.9,Good,1,1
Puttalam,Puttalam-DS2,Dry,2013,2,80.9,1.72,23.3,Moderate,0,0
Badulla,Badulla-DS5,Intermediate,2017,12,121.1,2.23,38.6,Moderate,0,0
Kurunegala,Kurunegala-DS3,Intermediate,2022,4,220.4,3.32,50.1,Poor,1,1
Kilinochchi,Kilinochchi-DS4,Dry,2011,3,83.0,1.84,32.4,Poor,0,0
Kalutara,Kalutara-DS2,Wet,2023,10,404.6,3.85,65.8,Poor,1,1
Gampaha,Gampaha-DS3,Wet,2016,1,391.1,3.59,64.0,Poor,1,1
Batticaloa,Batticaloa-DS6,Dry,2019,8,113.3,2.28,36.6,Moderate,1,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2009,10,228.0,2.63,49.5,Poor,0,0
Puttalam,Puttalam-DS2,Dry,2015,5,61.6,1.7,26.7,Good,0,0
Matara,Matara-DS5,Wet,2015,2,162.3,2.97,50.2,Poor,1,0
Mullaitivu,Mullaitivu-DS4,Dry,2014,9,83.0,1.67,33.1,Moderate,0,0
Kandy,Kandy-DS5,Wet,2013,5,193.7,2.95,48.8,Good,1,1
Mullaitivu,Mullaitivu-DS6,Dry,2011,8,103.0,1.78,31.8,Moderate,0,0
Mannar,Mannar-DS4,Dry,2025,3,125.6,1.94,32.0,Poor,0,0
Anuradhapura,Anuradhapura-DS3,Dry,2010,5,76.5,1.6,31.4,Moderate,0,0
Kilinochchi,Kilinochchi-DS5,Dry,2014,6,58.7,1.71,31.4,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2021,12,235.3,2.11,49.5,Good,0,0
Jaffna,Jaffna-DS3,Dry,2020,5,112.8,2.0,41.5,Moderate,0,0
Jaffna,Jaffna-DS2,Dry,2015,11,124.5,1.84,36.8,Moderate,0,0
Matale,Matale-DS3,Intermediate,2020,6,187.0,1.88,40.9,Good,0,0
Matara,Matara-DS5,Wet,2008,12,182.4,2.79,45.7,Good,1,0
Puttalam,Puttalam-DS3,Dry,2018,9,68.4,1.78,22.2,Moderate,0,0
Trincomalee,Trincomalee-DS1,Dry,2022,12,128.6,3.09,37.9,Moderate,1,0
Batticaloa,Batticaloa-DS1,Dry,2014,4,83.4,2.54,33.5,Moderate,1,0
Anuradhapura,Anuradhapura-DS3,Dry,2019,3,67.0,1.99,34.8,Poor,0,0
Matale,Matale-DS4,Intermediate,2013,12,207.7,2.0,43.0,Moderate,0,0
Colombo,Colombo-DS2,Wet,2014,4,303.4,3.54,57.9,Good,1,0
Galle,Galle-DS4,Wet,2019,3,247.1,3.22,44.1,Moderate,1,0
Anuradhapura,Anuradhapura-DS6,Dry,2022,1,126.9,1.96,40.1,Moderate,0,0
Mannar,Mannar-DS5,Dry,2009,3,92.8,1.7,29.7,Moderate,0,0
Kegalle,Kegalle-DS1,Wet,2025,12,124.9,2.68,52.7,Good,1,0
Kandy,Kandy-DS2,Wet,2016,9,251.3,3.14,56.2,Moderate,1,0
Kurunegala,Kurunegala-DS2,Intermediate,2022,12,439.9,3.69,57.4,Good,1,0
Kandy,Kandy-DS4,Wet,2020,1,257.0,2.96,49.6,Poor,1,0
Ratnapura,Ratnapura-DS4,Wet,2022,2,500.4,4.17,69.6,Good,1,1
Kalutara,Kalutara-DS6,Wet,2020,9,276.8,3.8,68.9,Poor,1,1
Mannar,Mannar-DS3,Dry,2012,3,83.8,2.05,27.0,Good,0,0
Hambantota,Hambantota-DS6,Dry,2013,7,108.1,2.35,34.4,Poor,0,0
Kegalle,Kegalle-DS5,Wet,2010,9,251.2,3.03,48.8,Moderate,1,0
Galle,Galle-DS6,Wet,2012,6,244.8,3.23,63.6,Poor,1,0
Kegalle,Kegalle-DS1,Wet,2013,10,124.0,2.57,44.1,Good,1,0
Ratnapura,Ratnapura-DS1,Wet,2024,3,174.5,3.11,45.2,Good,1,0
Mullaitivu,Mullaitivu-DS6,Dry,2020,8,136.4,1.75,37.2,Good,0,0
Badulla,Badulla-DS6,Intermediate,2009,2,118.3,1.88,35.3,Good,0,0
Batticaloa,Batticaloa-DS4,Dry,2011,4,117.3,1.99,44.0,Poor,1,0
Jaffna,Jaffna-DS2,Dry,2021,6,40.2,1.69,20.7,Moderate,0,0
Colombo,Colombo-DS5,Wet,2010,6,235.3,3.04,54.8,Good,1,0
Batticaloa,Batticaloa-DS3,Dry,2016,1,108.7,2.27,43.3,Moderate,1,0
Matale,Matale-DS2,Intermediate,2014,4,234.8,2.39,40.6,Good,0,0
Ratnapura,Ratnapura-DS5,Wet,2024,9,523.6,3.9,71.8,Moderate,1,1
Ratnapura,Ratnapura-DS1,Wet,2013,1,209.4,3.16,54.4,Moderate,1,1
Vavuniya,Vavuniya-DS1,Dry,2014,4,92.4,1.88,31.4,Poor,0,0
Badulla,Badulla-DS5,Intermediate,2014,8,114.9,1.74,31.1,Poor,0,0
Batticaloa,Batticaloa-DS3,Dry,2017,10,163.6,2.54,44.0,Moderate,1,0
Puttalam,Puttalam-DS1,Dry,2013,3,72.4,2.09,23.9,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2023,12,281.6,2.84,45.5,Poor,0,0
Vavuniya,Vavuniya-DS2,Dry,2022,1,180.3,2.15,32.5,Good,0,0
Mullaitivu,Mullaitivu-DS3,Dry,2020,9,85.0,1.73,46.8,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS6,Dry,2014,11,143.9,1.75,40.7,Good,0,0
Badulla,Badulla-DS2,Intermediate,2018,2,122.2,1.92,33.1,Good,0,0
Batticaloa,Batticaloa-DS1,Dry,2008,11,335.7,2.89,54.8,Poor,1,0
Anuradhapura,Anuradhapura-DS2,Dry,2009,7,130.0,1.93,24.6,Poor,0,0
Moneragala,Moneragala-DS4,Dry,2011,1,127.8,1.83,36.2,Good,0,0
Vavuniya,Vavuniya-DS1,Dry,2011,9,82.5,2.1,41.7,Moderate,0,0
Vavuniya,Vavuniya-DS2,Dry,2023,6,102.0,2.38,38.2,Moderate,0,0
Mannar,Mannar-DS4,Dry,2010,3,119.0,1.77,26.0,Moderate,0,0
Batticaloa,Batticaloa-DS2,Dry,2014,10,173.4,2.69,35.0,Good,1,0
Kalutara,Kalutara-DS1,Wet,2010,9,332.3,3.17,57.7,Poor,1,1
Matara,Matara-DS2,Wet,2013,2,152.6,2.87,49.7,Poor,1,0
Ratnapura,Ratnapura-DS4,Wet,2019,1,246.6,3.32,51.3,Good,1,0
Badulla,Badulla-DS2,Intermediate,2009,6,163.5,2.18,38.8,Moderate,0,1
Vavuniya,Vavuniya-DS3,Dry,2022,9,90.5,1.74,33.1,Poor,0,0
Matale,Matale-DS1,Intermediate,2025,5,104.0,1.66,36.1,Moderate,0,0
Kandy,Kandy-DS2,Wet,2012,8,302.1,3.37,58.7,Moderate,1,1
Galle,Galle-DS5,Wet,2013,11,173.9,2.88,60.2,Good,1,1
Batticaloa,Batticaloa-DS5,Dry,2019,6,37.1,1.9,36.1,Poor,1,0
Ampara,Ampara-DS2,Dry,2008,12,146.4,2.05,34.7,Good,0,0
Matara,Matara-DS4,Wet,2024,4,156.1,2.9,51.1,Good,1,0
Hambantota,Hambantota-DS6,Dry,2022,3,66.6,2.22,35.8,Moderate,0,0
Galle,Galle-DS6,Wet,2013,5,150.3,2.93,43.4,Moderate,1,0
Trincomalee,Trincomalee-DS3,Dry,2008,2,74.1,2.19,41.8,Good,1,0
Badulla,Badulla-DS3,Intermediate,2009,6,123.4,2.02,38.8,Poor,0,0
Batticaloa,Batticaloa-DS4,Dry,2013,4,49.3,2.49,39.8,Moderate,1,0
Matara,Matara-DS2,Wet,2023,10,183.4,2.76,46.0,Good,1,0
Kalutara,Kalutara-DS5,Wet,2022,7,275.4,3.18,51.3,Poor,1,1
Ampara,Ampara-DS5,Dry,2013,2,82.8,1.83,32.7,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS4,Dry,2017,9,47.4,1.27,25.0,Good,0,0
Kegalle,Kegalle-DS6,Wet,2016,11,493.3,3.77,65.7,Good,1,0
Kegalle,Kegalle-DS6,Wet,2014,1,150.4,3.02,47.1,Moderate,1,0
Galle,Galle-DS5,Wet,2011,3,157.7,3.12,50.6,Good,1,0
Jaffna,Jaffna-DS3,Dry,2024,7,88.7,1.64,32.9,Poor,0,0
Puttalam,Puttalam-DS6,Dry,2016,8,50.9,2.16,27.0,Moderate,0,0
Badulla,Badulla-DS4,Intermediate,2010,8,66.6,1.79,34.7,Moderate,0,0
Galle,Galle-DS4,Wet,2022,11,172.3,3.37,49.3,Poor,1,0
Trincomalee,Trincomalee-DS3,Dry,2025,3,59.0,2.79,36.4,Good,1,0
Batticaloa,Batticaloa-DS2,Dry,2012,8,53.8,2.5,24.1,Moderate,1,0
Kegalle,Kegalle-DS2,Wet,2009,5,211.4,2.94,45.2,Poor,1,0
Mullaitivu,Mullaitivu-DS3,Dry,2018,1,173.5,1.99,38.5,Moderate,0,0
Vavuniya,Vavuniya-DS6,Dry,2018,7,118.3,1.95,34.5,Moderate,0,0
Badulla,Badulla-DS5,Intermediate,2019,8,115.2,1.92,36.9,Good,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2018,7,219.3,2.79,39.0,Good,1,0
Anuradhapura,Anuradhapura-DS2,Dry,2010,2,68.1,1.93,31.2,Poor,0,0
Mannar,Mannar-DS6,Dry,2024,2,90.8,1.9,35.4,Good,0,0
Kalutara,Kalutara-DS5,Wet,2010,4,131.5,2.8,48.1,Poor,1,0
Galle,Galle-DS4,Wet,2010,11,305.2,3.21,61.0,Moderate,1,1
Kegalle,Kegalle-DS4,Wet,2020,12,141.0,2.72,35.5,Poor,1,0
Kilinochchi,Kilinochchi-DS4,Dry,2016,8,52.2,1.82,40.6,Moderate,0,0
Gampaha,Gampaha-DS5,Wet,2015,10,238.8,3.28,56.2,Good,1,0
Polonnaruwa,Polonnaruwa-DS6,Dry,2018,4,70.8,1.33,30.8,Good,0,0
Mannar,Mannar-DS5,Dry,2012,3,88.1,1.42,29.5,Moderate,0,0
